ID,2BM0,2BM1,2BM2,2BM3,2BM4,2BM5,2BM6,2BM7,2BM8,2BM9,7BM0,7BM1,7BM2,7BM3,7BM4,7BM5,7BM6,7BM7,7BM8,7BM9,10BM0,10BM1,10BM2,10BM3,10BM4,10BM5,10BM6,10BM7,10BM8,10BM9
3,-,-,-,0.37,-,0.37,-,0.38,-,-,,,,,,,,,,,,,,,,,,,,
4,0.67,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
15,-,-,-,-,-,-,-,0.65,-,-,,,,,,,,,,,,,,,,,,,,
18,-,0.29,-,0.29,0.31,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
20,-,0.7,0.7,-,-,0.7,-,-,-,-,,,,,,,,,,,,,,,,,,,,
22,-,-,-,0.62,-,-,0.62,-,-,0.63,,,,,,,,,,,,,,,,,,,,
25,-,0.51,-,0.54,-,0.5,-,-,-,-,,,,,,,,,,,,,,,,,,,,
26,-,-,-,-,0.6,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
37,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
39,0.68,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
40,0.38,0.39,-,-,-,-,-,-,0.38,-,,,,,,,,,,,,,,,,,,,,
42,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
54,-,0.95,-,-,-,0.96,-,-,-,-,,,,,,,,,,,,,,,,,,,,
56,-,0.63,-,-,0.64,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
57,-,-,-,-,-,-,0.24,-,-,-,,,,,,,,,,,,,,,,,,,,
61,0.45,-,0.44,-,-,0.43,0.42,-,0.44,-,,,,,,,,,,,,,,,,,,,,
64,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
67,-,0.84,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
70,-,-,0.43,-,-,-,-,-,-,0.45,,,,,,,,,,,,,,,,,,,,
79,-,-,-,-,-,-,-,-,0.9,-,,,,,,,,,,,,,,,,,,,,
80,-,-,0.59,-,-,0.6,-,-,-,-,,,,,,,,,,,,,,,,,,,,
84,-,-,-,0.35,-,-,-,-,-,0.35,,,,,,,,,,,,,,,,,,,,
